site_id,address_key,address_normalized,address_line_clean,postal_code_clean,city_clean,nb_orthos,geocoded_label,latitude,longitude,score,status
1,8f58911ab182c3abdf128854aff14f55,7 RUE DE L ESSAI 75005 PARIS,7 RUE DE L ESSAI,75005,PARIS,2,7 Rue de l'Essai 75005 Paris,48.839746,2.358166,0.9651,OK
2,d9a087a8b9c7447a4d743526d2733ec2,34 BOULEVARD DE L HOPITAL 75005 PARIS,34 BOULEVARD DE L HOPITAL,75005,PARIS,1,34 Boulevard de l'Hôpital 75005 Paris,48.840709,2.36202,0.968,OK
3,bbf168c24b647882a64a54a77cd64016,6 RUE DES FOSSES SAINT-MARCEL 75005 PARIS,6 RUE DES FOSSES SAINT-MARCEL,75005,PARIS,1,6 Rue des Fossés Saint-Marcel 75005 Paris,48.839135,2.356049,0.9672,OK
4,5cfb2d64fb8a3fd151ad558ec416f1af,67 RUE BUFFON 75005 PARIS,67 RUE BUFFON,75005,PARIS,3,67 Rue Buffon 75005 Paris,48.841375,2.357008,0.9722,OK
5,18f948cb8dbfbfcead5462891f1391c5,32 RUE GAY LUSSAC 75005 PARIS,32 RUE GAY LUSSAC,75005,PARIS,1,32 Rue Gay-Lussac 75005 Paris,48.844512,2.341787,0.9732,OK
6,a3ea8c7c995ca6ed93eecc499868570d,254 RUE SAINT JACQUES 75005 PARIS,254 RUE SAINT JACQUES,75005,PARIS,8,254 Rue Saint-Jacques 75005 Paris,48.843034,2.341289,0.9777,OK
7,41cc0cd67442f932a36529556dc7a836,15 RUE DAUBENTON 75005 PARIS,15 RUE DAUBENTON,75005,PARIS,1,15 Rue Daubenton 75005 Paris,48.841267,2.3541,0.9717,OK
8,ae969c22a09db5fc833b678fd48243e9,12 RUE SAINT VICTOR 75005 PARIS,12 RUE SAINT VICTOR,75005,PARIS,1,12 Rue Saint-Victor 75005 Paris,48.84819,2.351271,0.9674,OK
9,f14287a8c077962356f74a6e135180e7,8 RUE SCIPION 75005 PARIS,8 RUE SCIPION,75005,PARIS,1,8 Rue Scipion 75005 Paris,48.838399,2.353778,0.9661,OK
10,1d676a7c9a0ba961424b34b98096a23a,20 RUE LARREY 75005 PARIS,20 RUE LARREY,75005,PARIS,5,20 Rue Larrey 75005 Paris,48.843023,2.353133,0.9694,OK
11,c729887a3cc8e3b525eceb6d3c3e29d6,18 RUE POLIVEAU 75005 PARIS,18 RUE POLIVEAU,75005,PARIS,1,18 Rue Poliveau 75005 Paris,48.840393,2.359839,0.9728,OK
12,eba17aa4b381f6774fdcf2a52a6b0d16,38 RUE POLIVEAU 75005 PARIS,38 RUE POLIVEAU,75005,PARIS,2,38 Rue Poliveau 75005 Paris,48.840023,2.357804,0.9728,OK
13,66b6207ab7a22f118e16b2878a10441a,17 RUE DE LA SORBONNE 75230 75005 PARIS 5E ARRONDISSEMENT,17 RUE DE LA SORBONNE 75230,75005,PARIS 5E ARRONDISSEMENT,1,17 Rue de la Sorbonne 75005 Paris,48.848904,2.343138,0.7072,OK
14,fcaebe7da27d7fe178432d9d94f02631,39 RUE DE L ARBALETE 75005 PARIS,39 RUE DE L ARBALETE,75005,PARIS,1,39 Rue de l'Arbalète 75005 Paris,48.839497,2.346702,0.9704,OK
15,2659eb7bab1cbd7adbd56bbe1a5d75cc,6 RUE TOURNEFORT 75005 PARIS,6 RUE TOURNEFORT,75005,PARIS,1,6 Rue Tournefort 75005 Paris,48.844108,2.348,0.9703,OK
16,7d7c330110d17675e40119938f51f417,7 B RUE LAROMIGUIERE 75005 PARIS,7 B RUE LAROMIGUIERE,75005,PARIS,1,7b Rue Laromiguière 75005 Paris,48.84389,2.347198,0.7528,OK
17,4304146afac9681ef2858517a90c895d,5 PLACE JUSSIEU 75005 PARIS,5 PLACE JUSSIEU,75005,PARIS,1,5 Place Jussieu 75005 Paris,48.845732,2.354955,0.9638,OK
18,47cbc6a525053e9b08feafa6fbcfc571,16 RUE DE L ARBALETE 75005 PARIS,16 RUE DE L ARBALETE,75005,PARIS,1,16 Rue de l'Arbalète 75005 Paris,48.840266,2.348266,0.9704,OK
19,a7460a1b469da4468d3473dddcf1d796,3 RUE LE GOFF 75005 PARIS,3 RUE LE GOFF,75005,PARIS,1,3 Rue Le Goff 75005 Paris,48.846507,2.341596,0.9651,OK
20,c07889b1de81d284f46c0693edb4eb93,81 RUE MONGE 75005 PARIS,81 RUE MONGE,75005,PARIS,1,81 Rue Monge 75005 Paris,48.842393,2.352247,0.9758,OK
21,cad9ac323a13b3e84a22468c11b04f39,20 RUE LARREY 75005 PARIS 5E ARRONDISSEMENT,20 RUE LARREY,75005,PARIS 5E ARRONDISSEMENT,1,20 Rue Larrey 75005 Paris,48.843023,2.353133,0.9694,OK
22,f942137a8a3939353fbf19b5ad4634cf,4 RUE EDOUARD QUENU 75005 PARIS,4 RUE EDOUARD QUENU,75005,PARIS,1,4 Rue Edouard Quénu 75005 Paris,48.839259,2.349481,0.9619,OK
23,a1635ed0e5af585861d8e98097a4eefa,6 RUE DES ANGLAIS 75005 PARIS,6 RUE DES ANGLAIS,75005,PARIS,1,6 Rue des Anglais 75005 Paris,48.850847,2.347742,0.9651,OK
24,df61e3acaa10884960e7165e34a7b1e0,07 RUE DE L ESSAI 75005 PARIS,07 RUE DE L ESSAI,75005,PARIS,1,7 Rue de l'Essai 75005 Paris,48.839746,2.358166,0.823,OK
25,26c8ce839ef800b5724eb8ff8736aa60,13 RUE POLIVEAU 75005 PARIS,13 RUE POLIVEAU,75005,PARIS,1,13 Rue Poliveau 75005 Paris,48.840252,2.360244,0.9728,OK
26,484582dd49eaa0f2949611eb9e23ed00,22 RUE DES BOULANGERS 75005 PARIS,22 RUE DES BOULANGERS,75005,PARIS,1,22 Rue des Boulangers 75005 Paris,48.845903,2.353181,0.9707,OK
